BCB/1,"Exchange rate, Free, United States dollar (sale), 1"
BCB/3,"Exchange rate, Floating, United States dollar (sale), turism rate"
BCB/4,"BM&F Gold, gramme"
BCB/5,"Gold London, troy ounce"
BCB/7,Bovespa index
BCB/8,Bovespa total volume
BCB/9,BVRJ index
BCB/10,"Rio de Janeiro stock market (BVRJ), total amount"
BCB/11,"Interest rate, Selic"
BCB/12,"Interest rate, CDI"
BCB/13,Real unit of value (URV)
BCB/14,"Time deposits (CDB/RDB-preset), Daily return (%)"
BCB/15,"Time deposits (CDB/RDB-preset), Balance"
BCB/16,"Time deposits (CDB/RDB-preset), Calendar days in periods of 30/35 days"
BCB/17,"Time deposits (CDB/RDB-preset), Working days in periods of 30/35 days"
BCB/18,"Time deposits (CDB/RDB-postset), Daily return (%)"
BCB/19,"Time deposits (CDB/RDB-postset), Balance"
BCB/20,"Time deposits (CDB/RDB-postset), Calendar days in periods of 120/125 days"
BCB/21,"Time deposits (CDB/RDB-postset), Working days in periods of 120/125 days"
BCB/22,National treasury bond (BTN)/Fiscal reference unit (UFIR) daily
BCB/23,"Brazilian system of savings and loans (SBPE) and Rural savings deposits, Balance"
BCB/24,"Brazilian system of savings and loans (SBPE) and Rural savings deposits, Net inflow"
BCB/25,"Saving deposits up to 05.03.2012, Return in the time period"
BCB/26,"Time deposits (CDB/RDB-preset), Financial institutions rate (%)"
BCB/27,"Time deposits (CDB/RDB-preset), Financial institutions balance"
BCB/28,"Time deposits (CDB/RDB-preset), Institutional investors rate (%)"
BCB/29,"Time deposits (CDB/RDB-preset), Institutional investors balance"
BCB/30,"Time deposits (CDB/RDB-preset), Legal entities rate (%)"
BCB/31,"Time deposits (CDB/RDB-preset), Legal entities balance"
BCB/32,"Time deposits (CDB/RDB-preset), Individuals rate (%)"
BCB/33,"Time deposits (CDB/RDB-preset), Individuals balance"
BCB/34,"Time deposits (CDB/RDB-postset), Financial institutions rate (%)"
BCB/35,"Time deposits (CDB/RDB-postset), Financial institutions balance"
BCB/36,"Time deposits (CDB/RDB-postset), Institutional investors rate (%)"
BCB/37,"Time deposits (CDB/RDB-postset), Institutional investors balance"
BCB/38,"Time deposits (CDB/RDB-postset), Legal entities rate (%)"
BCB/39,"Time deposits (CDB/RDB-postset), Legal entities balance"
BCB/40,"Time deposits (CDB/RDB-postset), Individuals rate (%)"
BCB/41,"Time deposits (CDB/RDB-postset), Individuals balance"
BCB/42,"Financial investment fund (FAF), Net worth"
BCB/43,"Financial investment fund (FAF), Net inflow"
BCB/44,"Financial investment fund (FAF), Daily income (%)"
BCB/45,"Commodities funds, Net worth"
BCB/46,"Commodities funds, Net inflow"
BCB/47,"Commodities funds, Daily income (%)"
BCB/48,"Fixed-income mutual fund, Net worth"
BCB/49,"Fixed-income mutual fund, Net inflow"
BCB/50,"Fixed-income mutual fund, Daily income (%)"
BCB/51,"Free portfolio stock funds, Net worth"
BCB/52,"Free portfolio stock funds, Net inflow"
BCB/1207,GDP at current prices in R$
BCB/53,"Stock funds, free portfolio, Daily income (%)"
BCB/54,"Traditional stock funds, Net worth"
BCB/55,"Traditional stock funds, Net inflow"
BCB/56,"Traditional stock funds, Daily income (%)"
BCB/57,"Special earnings deposits, Balance"
BCB/58,"Special earnings deposits, Redemption"
